,JwMarriot_reviews
1112,I must say Jw marriot is the best option for stay and I will recommend to people to do enjoyment in this hotel .The staff was so nice specially venkatesh in the gym and Michael in executive lounge ...they both r very nice . I always choose no other option.
1113,I was very amazed to stay at the hotel the hospitality was amazing and incomparable. I thank to Samantha and Michel and Ivan for assisting me completely and providing me with the best service on a birthday.
1114,Exceptional hotel with first class service and facilities.  On arrival I was personally greeted as a Silver Elite Member and the check in process was quick and personal - greatly appreciated.  Each I time I travel to Mumbai I stay here and I am never disappointed.  The staff are attentive and helpful at all times.  The room is very comfortable and well equipped and the restaurants are excellent.    I would always stay here and would highly recommend the Marriott Juhu to any traveler.  Thank you Juhu another very comfortable stay.
1115,This review is long overdue. I stayed at the JW last November for 10 nights. The original plan was to spend 3 nights but the service was incredibly good to the point where I kept extending. The staff at the executive lounge...  Samantha Pereira  and her team were awesome. Thank You !!! . My thanks to all the other staff around the hotel as your guys were amazing.
1116,"We stayed a night in the ocean view room. The rooms are neat, spacious, staff is courteous and helpful. The food is good but priced exorbitantly.if you want to cherish the five star experience, then worth a visit."
1117,We stay every years three days to relex when we travel from U.K. To my village friendly staff good English breakfast specially I love there masala tea in night time from back u can enter to walk juhu beach atmosphere in hotel very lively in night time money is worth if stay here
1118,It was an awesome experience to be staying here. The whole family enjoyed the experience including the kids. The rooms were clean. We were well taken care of. Staff was very courteous. Our check in & check out was very fast in less than 10 minutes. We were accompanied to the rooms upon check in. The food was also excellent. The kids enjoyed the meals too.
1119,"I love this Juhu property, and it is not just the nice building, pools and location. The secret sauce that makes a hotel feel like HOME is the staff. I want to highlight and thank some of the excellent staff that you have.  Siddharth has been wonderful to work with. I told him that my wife is accompanying me on this trip. He along with Priyanka, Samantha organized a great welcome event for us in the lobby. They also remembered that it was my wife's birthday and they organized a great cake/flowers. My wife (and I) were very impressed.  Priyanka, Samantha had a great idea about Platinum members only Cocktail event in the Chinese restaurant. It is a brilliant idea and I wish more Marriott properties adopt this event.  Michael in the lounge is awesome to work with and is very"
1120,"I had a wonderful stay at JW Marriot Juhu. The staff made my stay very enjoyable and comfortable. I would like to name members of the staff who i feel deserves recognition for their heartwarming professionalism. I would like to start with Trishla Desai from the Lotus Café. She was always attenting to my family and i's needs. We quickly became attached to her amazing personality. I always looked forward to dining at the Lotus café because of her. I'd also like to commend Chef Metha and Chef Nishard for always checking up us and making sure we have everything we need. Also Chef Metha sends special dishes from the kitchen for us!! Chef Metha made this wonderful Egg Benedict sandwich for me which was so good!! Also from the Lotus Cafe, i would like to commend Anil, Dilip,Giles, and"
1121,"Terrible bruchettas, pizzas, raviolis,lasagneas, the pumpkin soup.....you name they spoil it.....i use to love this place but strictly avoid this place....service is great, the staff tries best to cover up for the food, but food is pathetic...Best Avoided."
1122,Thee BBC @ JW martiottt is a quaint cosy corner cafe with a delicious bakery. They have yummy breads to choose from and a variety of cakes a d pastries. Also available are assorted drinks and perrier water. The menu is very varied and interesting for a light snack. Juices are freshly made to order. Good for  health freaks as they have vegetable boosters as well.  My favourite is the Quinoa chat with crushed ragi chips..
1123,"Stayed here with a couple of friends who have stayed here several times before and told me it was thee place to stay in Mumbai, I wouldn't disagree. The layout of the hotel is amazing, the rooms are light and airy with excellent high quality decor. The breakfast is to die for and the outdoor pool area looks like something out of ancient Egypt. The staff are always nice and smiling, nothing is too much to ask for. Can't wait to go back."
1124,"30 minutes away from international airport, amazing staff , delicious cusines, nice and soft music, great ambience and infrastructure, one of the best hotels gor stay in mumbai, lovely beach besides the hotel, they have an amazing gym and spa facilities which is very nicely and traditionally maintained."
1125,"This is amongst Mumbai's top notch luxury hotel properties.  The pools, fitness centre and view of the beach outside is amazing. Has many quality restaurants and the coffee shop is just fantastic. Room are luxurious and well maintained. Service of staff is also quite exemplary."
1126,The rooms are so comfortable and quiet with beautiful pool and or ocean views. Always a rejuvenating and relaxing experience. Some rooms give you an added view of the city skyline and the pool views are beautiful and peaceful.
1127,"I'm dissatisfied and disappointed with the quality of food and the spread. Used to be among Mumbai top spreads, I'm shocked with the quality. Stale, cold and tasteless for the most part, the live counters suck as well.  Don't waste your money eating the super expensive buffet at Marriott Juhu."
1128,"Excellent service in all aspects. the staff is very courteous and friendly. warm hospitality. always eager to help and smiling. the same applies to all departments be it front desk,spa, restaurants, Gymnasium, housekeeping and all others part of the hotel.  the ambience and service is excellent along with great location and facilities.  Had used for stay at previous occasions and will use it more in future and highly recommended to all to experience it once and then you like to repeat the same in future."
1129,"I booked this hotel as a splurge for relaxation at the end of a month of traveling in India.  The property was even better than I could have asked for!  The pools were so relaxing.  Yoga & the fitness center allowed me to work out some travel kinks.  And the staff are just exceptional, attending to needs and wants I didn't even know I had!!  Special thanks to Rajendra, Nishad, Swati, and Ivan for making our stay extra-special :).  The beach is unfortunately not swimmable due to water quality, but it is pretty to look at.  Would definitely recommend staying here."
1130,"I along with my family dined at the Saffron Restaurant at JW Marriott, Juhu, Mumbai. The occasion - my daughter's 11th Birthday!  They had a great spread of veg & non veg Indian delicacies and desserts. With live Indian music and an impressive beverage list to boot, Saffron is worth going to for that leisurely, special dinner. The service is great but never overbearing.  Highly recommended"
1131,If you can indulge ask for the sea view rooms and if not ask for an upgrade at the desk. Might be you get lucky.  The sea view rooms are amazing. The sun set is pretty.  The room sizes are decent. The hotel also has great restaurants.
1132,I've stayed at this hotel several times for business and I enjoyed all my stays. The service is great and the rooms are comfortable. One thing I can never have enough of is the Indian food in the main restaurant (it's to die for).
1133,"Each of the rooms I stayed in, had a spectacular view of the sea and its moods, specially during the monsoons. We have held three trainings here and each time, it has been better than the last. Our participants now feel very much at home, making friends with the chefs, ordering 'khichri', local street food, etc.   I must make special mention of Hemant who cleaned up my room and made beautiful towel sculptures - a new one every day. His smile could light up your whole day. So also, the waiters in the Lotus Cafe like Durgesh and Rajesh, so proud of their hotel and expertise.   I have stayed in many hotels around the world but this ranks as one of the best."
1134,Stayed in the hotel for night. It is a good place located next to beach. However had dirty coffee cups in the room. Room cleanliness needs improvement. Food at the executive centre was also very limited. Had a good meal at the Chineese restaurant .
1135,"I stayed here for only one night unfortunately, as I wished I could have stayed for longer.  The staff, the food, setting and the rooms were fabulous. I was here on business and being a Marriott member I was very kindly upgraded.  The hotel is very luxurious, modern and clean."
1136,The JW Marriott is a stunningly beautiful property with amazing rooms that are very contemporary and comfortable.Stayed here for a conference and everything was well organised.The breakfast spread was amazing.The hotel has 3 pools and a great spa.
1137,"Right from the time I checked in, this property and its employees helped make sure I was going to have the best stay ever. It was the excellent hospitality that made me return for my second trip and based on this trip, I am never going to stay elsewhere in Mumbai. Excellent accommodations, transfers back and forth from the airport, the breakfast buffet, the access to the beach and above all, the special touches (flowers, cake, pictures) helped make sure this will be a highlight in itself when we remember our Mumbai trip any time in the future."
1138,"The hotel is in best location . Juhu beach 3 minutes walk . The pool and Gym are best part of this property. Breakfast is awesome, pulls you early from ypur bed . Weekends are too crowdy and you will have to wait to get seated . Disappointment : checkin  .  Lunch and dinner , if you are ok with the Buffet , it has plently of choices .  Room service is very poor .  Overall Has edge due to location .  The Airport drop by Audi was a good experience , Mr Chopra who drove us back is entertsining and very lively person to chat .  Ask for him to go around Mumbai, if you are new to Mumbai ."
1139,"India is a great country, but its hotels are a mess.  Even the so called 5 star properties fail in areas.  Something always juuuust short of where it should be.  We booked multiple rooms at this property since we work in Hollywood and alot of Bollywood likes to take meetings here.  Upon entering the lobby its quite impressive.  Check In was nice.  Some of us got great staff, and a couple not so great.   We were offered drinks during the check-in process (which they could smooth out a bit...took a  long time)  The rooms are nice enough, but its time for a renovation.  They feel more 1995 luxury (which as a kid I loved) Today, umm not so much.  My room also had mosquitoes in the corner, so had to switch rooms during my stay.     The food was spectacular when it came to the buffet"
1140,"The JW Marriott at Juhu Beach, is an excellent hotel.  Of course it's beautiful and has a delicious breakfast buffet in a giant sun-filled dining room with all kinds of cuisine - but it's the spa and gym that really stand out as extraordinary facilities.  There are at least a dozen treadmills, very helpful personal trainers, large free weight area and a variety of machines in the spacious gym.  In the luxurious spa beside that space there's a variety of rejuvenating options available.  My experience is however only with the massages - excellent, by the way - and the nice steam room, so that by the time you're finished they could pour you into a bed, where a welcome sleep will help you recover from your jet-lag.  Personally, I can also recommend the group yoga classes in their"
1141,"I travel to Mumbai monthly for my work. So I would like to  compliment the excellent staff in the executive lounge. As a gold member I really appreciate a quiet atmosphere yet pleasant & professional service. This staff provides that.     There is Ivan who is always welcoming, cheerful & friendly, along with Swati. Then the wait staff, like Pradeep & Alex, who always have a great meal suggestion & willingly prepare a plate to alow guests to continue to work. I am so impressed with the professionalism of Samantha who seems to remember the name of every guest making each if us feel so special. And I must not forget to thank Chef Nishaad who is OUTSTANDING! I am truly impressed with the staff at the Mumbai JW Marriott, Juhu."
1142,"I had stayed here for a conference in July. The hotel is quiet well kept and the staff is very helpful and courteous. The gym is well equipped..but would suggest people to definitely go for a swim in the pool in the evening, as one can enjoy the sunset view while swimming in the pool."
1143,"I have been regular to this property as a Club Marriott member which indulge you to the best hospitality experience.  My sincere thanks to Shambhavi at front desk for special attention and welcome to us.  Durgesh from Lotus Cafe was very friendly in discussing with us on lunch requirements and I    appreciated wide spread of desserts, chat corner, pasta, salads variety. along with name tags at various food sections to identify it quickly.  Vivek and his team at Saffron quickly served dal khichdi to my daughter as a special attention to young guest.  The menu Reshmi Kabab, Paneer Makhnwala was delicious followed by complimentary ice cream for young guest and meetha paan.  The newest addition is breakfast at Bombay Baking Company and enjoyed it in presence of chocolate pastry,"
1144,"Stayed for three nights at the property, Was attended by good staff and received great service. Breakfast spread was wonderful. The restaurants were also serving nice food. Chef of the Chinese Restaurant took extra care of us. So did the staff at the lower lobby."
1145,JW marriott is a very happening and good hotel centrally located in sub urbans of Mumbai. The only problem is service quality with in room dining and cashier which eats lot of time to dp their job. Rooms are good. Swimming pool is awsome overseeing sea in Juhu and next to Juhu beach. INDIAN VEGETARIAN FOOD AND CHINESE COHSIB IS VERY GOOD AND TASTY. Hotel rates are a bit on higher side.  My view it should not be more than 8000 including tax in INR and competitive.
1146,"I'm a Platinum Rewards Member. Last stayed at this property five years ago. It's as top-shelf now as it was then. Staff are impeccable, property is stunning. Food is superb. Highly recommended for anyone on business or pleasure."
1147,"I'd give this hotel 7 Stars if I could!! JW Juhu has been my preferred hotel in Mumbai and everytime I stay here, the staff finds a way to go one up on my previous experiences. The location, view and amenities are stupendous but it's the staff hospitality that tops it all for me. From the front desk, to the Executive Lounge to even the chefs, hospitality is in this hotel's DNA and they go the extra mile to make it a memorable stay.   The executive lounge staff in particular tops the experience and they go about it with a genuine warmth and professionalism.   I've seen families stay here on the weekends and can see how it can be a great place for families too. If you're a discerning business traveler who appreciates class and practicality, JW Marriott Juhu is the place to stay in"
1148,"Again a great experience during our stay at JW Marriott - Juhu. The rains in Mumbai, can make getting around tough. JWM offers an oasis away from it all. The beach access is a plus.  The Saffron buffet area was busier this time (than usual), but the quality of food and variety made up for it. As always, the staff was courteous and attended to the minutest needs.  A special mention to the gym staff that is always eager to assist."
1149,Hotel with ocean view offers a broad selection to make your stay unforgettable. The staff is unbelievable friendly and the breakfast invites you to stay longer. The rooms are very comfortable and clean. Really enjoyed my stay
1150,"JW marriott Juhu is really an awesome place to stay. Located right at famous Juhu beach, spacious property with lot of space for everything. Rooms are spacious. The beach view rooms give a good view of garden as well as ocean."
1151,"The warm friendly service from everyone, and I truly mean everyone at the JW, keeps me coming back year after year! Thanks to the front desk staff, especially Priyanka 1 and Priyanka 2 for making this a fun trip!"
1152,Fabulous breakfast.nice staff.beautiful view.Good situation........ Near sea.not good beach.perfect pool but not good weather will I am.the room was tidy . Crowded street.all cars just horn not driving
1153,"Had a chance to try out this restaurant while staying at this hotel, when we had some guests visit us.  The first thing I liked was the deco , very soothing!!  The menu was exciting so asked the staff to recommend.this turned out to be a good move as this was the best meal we have ever had in Mumbai. I would like to thank the following staff for all their service, Brinston, Rahul,Anirudh,Sandeep and most of all to Vivek , the manager who was so helpful."
1154,Room excellent. Hotel and staff excellent. i was not well and they went all out to get the doctor for me and gave me hot kichidi.   The service is very personal. :) I love the staff there. Caring kind .. and of course you get to see alot of bollywood actors just by sitting in the lobby
1155,I love the hotel and all the amenities. But ....especially I love Samantha who was the lounge manager but now is Guest Relations Manager. She is the best!!!thank you for all your smiles when I visit once a week.
1156,"I've been staying at JW Marriott during my trips to Mumbai for around 20 years and can safely that it has never disappointed. It's great that this excellent hotel is within 30 minutes of Chattrapati Shivaji Airport as well as areas offering fabulous shopping.  Most recently, I stayed there in May 2017 and again in June-July 2017 and found the service exceptional - from Reception staff to Housekeeping to Concierge Desk to Lotus Cafe and Bombay Baking Company. I needed some help from the Marketing team - Sagar Achpal - and even they were amazing.   The food at the Lotus Cafe is simply sumptuous. Appreciate the superb hospitality extended by Sous Chef, Mr Mehta and various managers, such as Prabhaker.   The Bombay Baking Company (the Indian BBC :-) ) is wonderful too for hot drinks"
1157,"I stayed here for three weeks on business and it must be amongst the best hotel stay I have ever had. Admittedly, I did use the wonderful executive lounge which made a huge difference,but, even so, this is a fabulous hotel with great facilities and a really special staff. The work ethic of most of the staff is amazing. They all give of their very best to make sure that guests have the best experience possible. Their aim is to make you feel part of a family and, certainly for long staying guests, they achieve that perfectly. They helped me celebrate my birthday in real style. The boy who looked after my room, Ganesh, gave me little amusements by folding towels into amusing animal shapes and leaving occasional flowers. These small gestures are so welcomed by long staying guests"
1158,"Overall the JW in Mumbai is by far one of the best. Everything from the lobby to the spa is amazing. It gives you a resort feeling in the city, with amazing pools and ocean views. It is a great location for anybody that wishes to visit areas like Juhu, Khar, and Bandra. Service is fantastic and rooms are well sized and designed. The Lotus Cafe for breakfast is a must!! If you are a Marriott member also make sure to check out the executive lounge. You can't go wrong with this fantastic hotel!"
1159,"The Room I got was very spacious and clean as well. At the time of entry into the hotel itself, you feel the positive vibes. Reception staff is very helpful and welcome. Juhu beach is very nearby from the hotel and after crossing the hotel lobby, you get the magnificent view of the beach itself through a range of palm trees."
1160,A finest hotel in Mumbai with nice view of the Arabian sea. Comfortable rooms with all modern amenities and fresh food aroma in the restaurant.Staffs are decent and very prompt. It's always a great experience. Thanks
1161,"What can i say about JW? Simple ""THE BEST IN MUMBAI"" The food the ambiance the service is fantastic.. We have a two year old and he was treated like a king. The pool, gym, spa and rooms are totally on the very best  standard.. keep it up JW."
1162,We had a excellent stay at the hotel and we were very well received by Priyanka Undale the front office Executive and were upgraded to Suite due to my Platinum status which was really excellent so our family could be together. Priyanka does go a step ahead to make sure guests are well attended and comfortable and Thank you Victor for your kindness.  It was very considerate of the hotel and it was a really wonderful family gathering we had 6 rooms at the hotel.  The restaurants are amazing and all of us had a lovely stay. Specially Dashanji had great music and oriental choices.  Evan and Samantha at the executive lounge are excellent hosts and become best friends with my daughter :-)......  would recommend this hotel for any family gathering.
1163,"I arrived in Mumbai on 3rd of June 2017 and checked into the JW Marriott on Juhu Road. It is a beautiful property , well maintained and situated in front the Arabian Sea 🌊 ! I have stayed at the JW Marriott many, many times for business , but this trip was special because I would be attending a wedding of a dear friend! We were greeted by 2 beautiful girls PFUB and PRIYANKA on arrival and had a very warm and speedy check in with SAIF and HARRY at the front desk , which was much appreciated after a 16 hour flight ✈️! SURESH immediately came over to help us with our luggage. Our room was absolutely gorgeous ! We had an amazing view of the pool 🏊🏻 and the sea! Along with flowers 🌺, fruits 🍉 and champagne 🥂 😛! The breakfast buffet is just out of this world 🌎. There were hot"
1164,Nice family hotel with gd location . With activities for kids . Have a nice swimming pool and other small activities . The view from the rooms is good the have lot of open area and huge property . Have good options for restaurants . One should prefer the speciality restaurants as compared to the cafe . Need some improvement in hospitality as staff is not very  courteous as compared to other Marriott properties . Over all kids and family enjoyed and had fun
1165,"Came here to celebrate my birthday and had the most wonderful time. We got a beautiful seafaring room. All the hotel staff went out of their way to take care of us and make me feel special. The restaurants are great. Amazing food, great staff, beautiful location. Delightful pool."
1166,"Very accommodating, friendly and the best staff all around. If you need anything they will help you.  Transportation is great as well. Food deliciously good and kid friendly as well.  My kids were very happy with the pool."
1167,"We have been staying at this hotel for over 10 years.Regular rooms are small,so we book a suite. We like this hotel primarily for: 1)Excellent service 2)Good food 3)Great location.    Breakfast is one of the most delicious ,elaborate and varied we have had anywhere.Chefs mill around and pay special attention to everyone's needs.  Dinner choices are varied.We had dinner in the Indian restaurant one night last week and found a couple of dishes too salty.The chef apologized,offered to make amends and the restaurant did not charge us. The housecleaning crew is attentive and friendly. The gym is well appointed.   I have only 2 complaints: 1)Check in is slow and the reception staff is not always well trained 2)The doormen are very greedy.They will hold the door open after you get into"
1168,Lovely hotel to stay centrally located.  Staff and check in no problem  Rooms are quite and well equipped  Gym is great  Food is good in lotus and the Chinese place Staff are fantastic and very friendly and helpful which makes it's very comfortable  Would recommend
1169,Juhu Marriott is an iconic property. Located on chowpati beach it has a certain advantage. Mumbai is a city that decides your hotel stay depending on where you'd be going out to work. I happened to have work in and around Juhu and stayed here. Aside of how all Marriott properties have a certain charm what I enjoyed the most was their fitness centre. It's wonderfully large but super crowded. All in all good property and very good hospitality.
1170,"This was an excellent property.  The service and hospitality was very much up to the JW standards.  The front desk was helpful, the rooms were in excellent condition.  The lounge was well equipped.  The entire experience was a great one."
1171,Wonderful hotel with a superb view. Both JW cafe and Saffron serves scrumptious food. Great ambiance. Food serves there at Executive Lounge was delicious. Service was good. Overall good experience. Kudos to team JW
1172,One of the best hospitality service and food at saffron. Superb place to spend family time. Each and every one from family was very happy.  From adults to young kids the menu was loved. Service was prompt. Warm and special treatment by the hotel was given. I would highly recommend saffron for the indian food and well known Indian hospitality.
1173,"As soon as we reached hotel front desk, we were greeted warmly with prompt allotment of room which was sea facing. The room was spacious with very good ambience. The hotel is located in Juhu, which is one of the best suburbs of Mumbai. The sea facing hotel offers a great view. We found the room relaxing. Excellent food at Lotus cafe. We missed dinner at Saffron as it was fully booked well in advance but there is always next time. Overall we felt positive vibes about the hotel and will visit often."
1174,This is one of the best JW property. Their pool along with sea pool just next to Juhu beach makes it totally worth place. Your kids gonna love this place. Views from executive lounge was awesome. Staff was very supportive and had a good time with them. Will come back there soon.
1175,The hotel is really great in all respects. It is ideally located on the seafront. The infrastructure and landscaping are very nicely maintained. The personnel in all departments are very well trained and very caring. Those who do the bed are very thorough. The restaurant personnel is outstanding as they really assist you to enjoy your meal. The personnel want to do that extra mile for the client.
1176,"BEST soothing sunset view of the BUSY juhu beach watched from the comforts of room and bath. and the club lounge. Excellent service at reception rooms, considerate housekeeping staff and best spread  in the world at breakfast. The rooms are well kept with every detail being promptly attended to."
1177,"I stayed at this hotel for 6 nights and during my stay it happened to be my birthday. One I will never forget as the hotel made sure my day was special! The staff helped me organise a trip to the Taj Mahal for my birthday, made me a cake and gave me flowers. I stayed in the executive room with business lounge access which was wonderful. The views of the beach and pool from the lounge were amazing and also they had the best Sambal I have ever tasted. The Japanese restaurant in the hotel was amazing, the staff, including the wonderful Champa made my stay that extra special. The pool is wonderful the food at all the restaurants had so much choice. I have never had such an amazing hotel experience ever. This is the only hotel to stay in when you visit Mumbai. Thank you JW Marriott"
1178,"The hotel is located bang on the beach. The rooms seem smaller than the Marriott Sahar.,but there is a really nice view of juhu from certain rooms, it is nice to watch the people on the beach and the waves coming in. I was a bit concerned about the lack of security especially on the beach side. But perhaps this is just me being paranoid.  The room itself is comfortable but has some weird paintings. There are sockets for different kinds of plugs which I was  grateful for. Also in the suite, the TV channels in the bedroom were less than the TV channels in the living room. Odd. The WIFI was for unlimited devices which was great. They also give an unlimited supply of water.  Housekeeping was efficient, just the cleaning carts lined up in an already narrow corridor are a bit"
1179,The staff here were brilliant! From our room attendant Manesh to eating in Mezo Mezo with the chef and other staff visiting our table to make sure we were ok and enjoying the amazing food. We even got a bon voyage cake when we left! Absolutely brilliant stay. The facilities here were also good and room was clean and comfortable. We will definitely be back!
1180,"I live in the same city and booked a room for 1 night for a weekend getaway. We loved staying at Marriott Juhu. Had booked their weekend getaway package which includes breakfast, dinner, 2 hour free cocktails, 1 bottle of wine. I found this package to be a good value for money.  We were a couple with an infant and were very well taken care off. Ashish at the front desk checked us in in a snap Swapnil at the swimming pool helped us inflate the swim float that we had carried for our child.  We had special dietary needs and all our food needs were well taken care off.  Chef Nisaar made sure we had enough food options, inspite of our dietary restrictions Babu at Mezo mezo made wonderful cocktails for us and got for us a Vegan pizza."
1181,"I just visited the hotel coffee shop for a meeting and my day was made by a very special guest relations person, Reshma Temang. She basically was the nicest, cordial and most helpful person. I'm definitely staying there next time. If you go there find her and say hello because she is the BEST."
1182,"I stayed at the JW juhu for a wedding and what a place it is. I have yet to experience hospitality like that in the city. The food, ambiance the staff, everyone deserves a special mention. I used to love the Arola restaurant but the current place also serves amazing delicacies"
1183,"As a first time business visitor to Mumbai, and India, the my most important needs for a Hotel are quality, hygiene, security and service. The JW Juhu did a fantastic job in all these areas. A reliable and comfortable Airport pick up with re-assuring and highly professional security at all entry points, sets the hotel off to a great start on arrival. Throughout my 2 week stay the service, attention to detail was excellent. Superb Indian food in the Saffron restaurant was a highlight along with a very comfortable Exec lounge, supported by the highly professional Ivan. Interestingly my American colleague and I had also been down to the historic Taj hotel for Tea and drinks, whilst this was beautiful and exotic, I preferred the service and ease of use at the JW. It was a perfect"
1184,"I stayed at JW juhu with my elder brother Mr Arnab Maity . As it's said that a character of an institution is reflected in its leader , I would appreciate Mr Pavithran ( G.M ) to have built a wonderful team with an applaudable group dynamic. I would like to mention a few associates who have been terrific . Starting from the lobby ,  Reshma has been wonderful and has been there at all times for any query I had or even a quick chat .  Dhruti and Shruti at the corporate lounge ensured the best at all times . Dhruti has been very helpful.  Out of all , I found Ivan to be the best among all the associates . The entire team of Jw Juhu is terrific .  If ever in Mumbai .. that's the place to be . Good luck ..  Anindya"
1185,"I would like to take a moment to thank all of the friendly and knowledgeable staff at the Juhu JW Marriott.  A few name s stand out from them, Pryanka Undale, Samantha Pereia, Iven Sen.  These folks have gone above and beyond their daily responsibilities.  I am very pleased with the food and service that the JW Marriott in Juhu.  Thank you!"
1186,"Good environment,ambience,and very prompt service.. Go to place for a quick meeting. Need a bit of change in the food menu otherwise a perfect place to conduct a meeting for healthy conversation. Compared to other coffee shop the service is really quick. The place is always busy and bustling  with activities."
1187,"Excellent service as always, from the time you check in, they make you feel special. The service is exceptional everywhere in the hotel, restaurants,lounge and even at the poolside. This is what makes you want to go back to this amazing hotel."
1188,"Needed a weekend away from city buzz and we chose a getaway within the city, beach front with three awesome pools... its an excellent getaway.  For dining my favorite restaurant here will be the quite new Dashanzi... must try.  On the whole a great stay other than a few minor blips."
1189,Hi Myself a frequent business traveller and last week I stayed in here. It was a great experience and was made an exhilarating one by the front desk manager Jigyasa Nigam. It was a long day and I was already dead tired by the time I was about to check in. She made the whole experience a special one by taking personal care - a personal touch beyond the call of duty and got a coffee mug sent to the room. A small gesture makes a lasting experience and I am looking forward to my next stay already.
1190,"Quality, modern, clean, spacious are just a few words to describe this place. The rooms are incredibly large. The position of the bed to the door is many steps away which means you hear no one walking up and down the corridors. Even tried the Italian restaurant (Rosano's)attached to the hotel and it was quality. Great ambiance and many menu items to choose from. Both the hotel and restaurant are winners."
1191,We checked in really really late (around 2 AM) in the night. The room had an amazing view of the sea. The breakfast was quite average and could have been better. The room service was quick and prompt. The staff was generally helpful but there was absolutely nothing extraordinary anywhere to catch our attentions.
1192,"My experience staying at the hotel was very positive mainly because of the excellent customer service provided by the hotel staff, particularly Ivan, who works at the hotel's lounge on the 4th floor, went out of his way to meet my requests.   Great food and ambience at both Saffron and Dashanzi! Tusha who works at the bar at Dashanzi was great. The hotel has a world-class gym with all the latest hardware and software and great trainers as well. I will definitely consider staying at the hotel again the next I visit Mumbai."
1193,"We had a bad experience at the JW Juhu last year, but tried the hotel one more time. 10 days in May 27th to 6th June were awesome. The staff starting from Front office Sarfraz who made sure our preferred room was ready for our arrival. Daily housekeeping support from Asif and Manish. Chef Nishad sent wonderful food to the room - food has always been great at the JW. Plus support from the bell desk and concierge on a daily bases. Also thanks to the personal intervention of Trishala Desai to ensure all was well this time round. All in all we will be back again and again."
1194,"""The Marriott Philosophy"" is alive and very well at the JW Marriott Juhu Beach and has been for the past 11 years that I have been fortunate to stay there as a guest. On this visit, my Super Stars were Samantha at the Front Desk and Tyson and Rajavendar (?) at the breakfast buffet. Such friendliness and incredibly genuine smiles! Samantha, at the Front Desk, possesses the perfect blend of professionalism and friendliness and her ""solution oriented"" Customer Service skills. My only criticism is that they decided to do away with bathtubs in lieu of rain head showers during the most recent guest room renovation, which I believe has been about five years. I miss a nice soak after a long flight from Newark to Mumbai! A side note: the floral arrangements in the Lobby area are always"
1195,"This is one of the best hotels in Mumbai with an awesome view to the beach. The service is very good, and the restaurants are excellent. I have stayed in this hotel many times, and still enjoying. In the evening times one can be irritated by the enormous traffic to and from hotel. The hotel has a very beautiful garden and pool, which is good for family visits."
1196,This place used to be my fab for dinners and family meals but unfortunately the recent experience made the place feel like it's loosing its charm. Right from the serving staff who kept forgetting everything such as bringing our cold drinks during desserts till the food choices in the menu of lotus restaurant. The valet guys have also become such poor quality which delays in getting your car and will hold on to your door till you tip. I wish they take initiative and bring back the lost glory.
1197,Everything about this hotel is awesome.  View of the beach from rooms and lounge is spectacular. Pool and hotel graden area looks great. Lot of celebrity houses nearby Got to take picture with Telugu superstar Mahesh babu when i was there and saw Anil Kapoor. Awesome it was.
1198,"I stayed here when my cousin got married a few years ago, and it was lush! I've always like marriott, but this hotel was something else! Just amazing! Rooms were nice with the view of the sea, but the dining area on the second floor was ridiculous, my eyes popped out of my head when I saw the food display! Great chef making amazing food! There were a few of us attending the wedding, and it was also hosted at the hotel in one of the event rooms, everything done up super nice, all staff were helpful. The night before the wedding we went into a on site dance club which was cool super dark in there though but I guess most clubs are! If you're looking for a wedding venue this is it! Even if not, just go and get pampered!!"
1199,"I've stayed here on a number of occasions and also at nearby Novotel, Sea Princess and Juhu Residency hotels. JW Marriott feels luxurious as soon as you enter, the staff treat you like royalty, the location is right on the beach, the decor is modern and luxurious, the pool area is private in a garden oasis (it's away from the restaurants), and the rooms are very comfortable and modern. I've only dined at the restaurant a few times as it gets a bit expensive (brunches are amazing); nearby are lots of good cheaper restaurants like: Cafe Moshe's, Fable cafe, Grandma's cafe, Dakshinayan (very basic but amazing south indian food) and Banana Leaf. An excellent hotel for solo female travellers.   The only cons: 1) too many scary crows at the pool, 2) we came for a wedding and the hotel"
1200,"This is a fantastic JW, exceeded my expectations in every way.  The room was very comfortable.  Great bed and linens.  It is very close to the airport.  You can barely hear the planes and it did not bother me.  The Executive Lounge is great.  Nice breakfast, great appetizers in the evening.  Each night a chef is there preparing a special.  The soup was great each night.  I especially want to recognize the outstanding staff who go out of their way at all times to help you.  In the lounge:  Aun and Nitesh.  At the reception desk:  Savita.  I will add that the spa was fantastic.  Clean, comfortable and beautiful.  Services are reasonably priced.  My therapist Tashi was fabulous.  I have back problems and she helped me a great deal.  I actually visited her 3 times during the week I"
1201,We stayed here for the weekend and found everything to be of high quality and well maintained. The pool area is outstanding and very big in size. Rooms are big and well maintained. Quality of food and service at Lotus Café can be improved. But overall its a great hotel with beach access in the heart of Mumbai!
1202,"This property continues to be maintained very well--and the food at the Lotus Cafe ( buffet) has excellent and very wide range of dishes.   But the service at the table could be better--in terms of promptness, quick attention, and so on. The rooms are small but good, and have a view of the sea, but the beds sag quite a bit and could give you mild backache if you have a predispostion for lumbar problems!"
